               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046922,            0.041732,                   0,             0.62457,             0.52551,               0.547,             0.28135,            0.049071,            0.020587,                   0,          0.00033174,          0.00033174,            0.067158
                   1,            0.046399,            0.040805,                   0,             0.63774,              0.5518,             0.57657,             0.28784,            0.048885,            0.019183,                   0,           0.0006629,           0.0006629,            0.034156
                   2,            0.047087,            0.041414,                   0,             0.70821,             0.51963,             0.59086,             0.29774,            0.049361,            0.018529,                   0,          0.00099188,          0.00099188,           0.0011514
                   3,            0.046959,            0.042795,                   0,             0.68748,              0.5428,             0.59717,             0.30424,            0.047826,            0.018236,                   0,           0.0009902,           0.0009902,           0.0009902
                   4,            0.047054,            0.040841,                   0,               0.646,             0.48988,             0.53883,             0.27474,            0.048415,            0.020051,                   0,           0.0009902,           0.0009902,           0.0009902
                   5,            0.046365,            0.041122,                   0,             0.68909,             0.51865,             0.58779,             0.29865,            0.048086,            0.018478,                   0,          0.00098693,          0.00098693,          0.00098693
                   6,            0.046424,            0.042195,                   0,             0.63295,             0.55016,             0.57902,             0.29595,            0.047599,            0.018669,                   0,          0.00098367,          0.00098367,          0.00098367
                   7,             0.04665,            0.041855,                   0,             0.67712,             0.56374,             0.61477,             0.32374,            0.046213,             0.01767,                   0,           0.0009804,           0.0009804,           0.0009804
                   8,            0.046227,             0.04121,                   0,             0.70998,             0.55652,             0.62351,             0.32514,            0.046534,            0.017822,                   0,          0.00097713,          0.00097713,          0.00097713
                   9,            0.045706,            0.040615,                   0,             0.68191,             0.55434,             0.60653,             0.32656,            0.045651,            0.018968,                   0,          0.00097387,          0.00097387,          0.00097387
                  10,             0.04583,             0.04058,                   0,             0.71167,             0.54017,             0.61651,              0.3263,            0.045843,            0.017702,                   0,           0.0009706,           0.0009706,           0.0009706
                  11,            0.045631,             0.04112,                   0,             0.70111,             0.55134,             0.62077,              0.3352,            0.045712,             0.01833,                   0,          0.00096733,          0.00096733,          0.00096733
                  12,            0.046448,            0.041943,                   0,             0.68331,             0.56561,             0.62317,             0.33238,            0.045807,            0.017592,                   0,          0.00096407,          0.00096407,          0.00096407
                  13,            0.045928,            0.040566,                   0,             0.72855,              0.5517,             0.62733,             0.33891,            0.045481,            0.017839,                   0,           0.0009608,           0.0009608,           0.0009608
                  14,            0.045967,            0.041685,                   0,             0.71241,             0.55807,             0.63019,             0.33103,            0.046044,              0.0175,                   0,          0.00095753,          0.00095753,          0.00095753
                  15,            0.045309,            0.041259,                   0,             0.70371,             0.55925,             0.62458,             0.33512,            0.045178,            0.017948,                   0,          0.00095427,          0.00095427,          0.00095427
                  16,             0.04522,            0.041267,                   0,             0.74436,             0.56189,              0.6438,             0.35311,            0.044674,            0.017454,                   0,            0.000951,            0.000951,            0.000951
