               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.043512,            0.037246,                   0,              0.7375,             0.58571,             0.66653,             0.37885,            0.044559,            0.016708,                   0,             0.00706,             0.00706,             0.00706
                  92,            0.044015,            0.038269,                   0,             0.73106,              0.5886,             0.66196,             0.37614,            0.044512,            0.016793,                   0,           0.0070273,           0.0070273,           0.0070273
                  93,            0.044035,            0.038239,                   0,             0.75071,             0.56925,             0.65671,             0.37304,            0.044307,            0.017327,                   0,           0.0069947,           0.0069947,           0.0069947
                  94,            0.043736,            0.038616,                   0,              0.7422,             0.58142,             0.66005,             0.37611,            0.044722,            0.016912,                   0,            0.006962,            0.006962,            0.006962
                  95,            0.043512,            0.037316,                   0,             0.75049,              0.5795,             0.66369,             0.37654,            0.044494,            0.016704,                   0,           0.0069293,           0.0069293,           0.0069293
                  96,            0.043834,            0.037428,                   0,             0.75466,             0.58152,             0.66591,             0.38103,            0.044252,            0.016912,                   0,           0.0068967,           0.0068967,           0.0068967
                  97,            0.043411,            0.038224,                   0,             0.73403,             0.59397,             0.66584,             0.37808,            0.044196,            0.016737,                   0,            0.006864,            0.006864,            0.006864
                  98,            0.043349,            0.038029,                   0,             0.71665,             0.60096,              0.6672,             0.38183,            0.044211,            0.016552,                   0,           0.0068313,           0.0068313,           0.0068313
                  99,            0.043459,             0.03758,                   0,              0.7284,             0.58788,              0.6589,             0.37785,             0.04432,            0.017111,                   0,           0.0067987,           0.0067987,           0.0067987
                 100,             0.04321,            0.037183,                   0,             0.76481,             0.58307,             0.67198,             0.38579,            0.044154,            0.016644,                   0,            0.006766,            0.006766,            0.006766
                 101,            0.043025,            0.038075,                   0,             0.74351,             0.58888,             0.66952,              0.3819,            0.044244,            0.016537,                   0,           0.0067333,           0.0067333,           0.0067333
                 102,            0.043153,            0.037939,                   0,              0.7471,             0.59869,             0.67994,             0.38699,            0.044128,            0.016439,                   0,           0.0067007,           0.0067007,           0.0067007
                 103,            0.043544,            0.038829,                   0,             0.73999,             0.59433,             0.67145,             0.38525,            0.043964,             0.01665,                   0,            0.006668,            0.006668,            0.006668
